"curso","n","zeros","prop_zero","AIC_ZIUBXII","AIC_BETA","AIC_KUMA","BIC_ZIUBXII","BIC_BETA","BIC_KUMA","conv_ZIUBXII","conv_BETA","conv_KUMA","vencedor_AIC","vencedor_BIC"
"ADMINISTRAÇÃO",1756,370,0.211,1031930.48,-401.079,-389.982,1031946.892,-384.667,-373.569,FALSE,TRUE,TRUE,"BETA","BETA"
"PEDAGOGIA",1232,379,0.308,28272246.681,1.554,8.019,28272262.03,16.904,23.368,FALSE,TRUE,TRUE,"BETA","BETA"
"DIREITO",1266,258,0.204,32464202.193,-849.728,-848.041,32464217.624,-834.297,-832.611,FALSE,TRUE,TRUE,"BETA","BETA"
"CIÊNCIAS CONTÁBEIS",1148,260,0.226,3127613.905,-294.378,-283.602,3127629.042,-279.24,-268.464,FALSE,TRUE,TRUE,"BETA","BETA"
"EDUCAÇÃO FÍSICA",1095,236,0.216,185218.182,-101.311,-96.069,185233.178,-86.315,-81.073,FALSE,TRUE,TRUE,"BETA","BETA"
"ENFERMAGEM",973,214,0.22,1330449.244,-210.128,-203.51,1330463.885,-195.487,-188.869,FALSE,TRUE,TRUE,"BETA","BETA"
"ENGENHARIA CIVIL",918,151,0.164,-33.239,-294.446,-287.389,-18.772,-279.98,-272.922,TRUE,TRUE,TRUE,"BETA","BETA"
"PSICOLOGIA",752,131,0.174,2437704.764,-484.629,-484.28,2437718.633,-470.76,-470.412,FALSE,TRUE,TRUE,"BETA","BETA"
"ENGENHARIA DE PRODUÇÃO",595,112,0.188,87.64,-61.445,-56.585,100.806,-48.279,-43.419,TRUE,TRUE,TRUE,"BETA","BETA"
"FISIOTERAPIA",668,132,0.198,106840.411,-241.519,-238.099,106853.923,-228.006,-224.586,FALSE,TRUE,TRUE,"BETA","BETA"
"CIÊNCIAS BIOLÓGICAS",584,136,0.233,5155952.979,-129.288,-121.281,5155966.088,-116.178,-108.171,FALSE,TRUE,TRUE,"BETA","BETA"
"GESTÃO DE RECURSOS HUMANOS",521,84,0.161,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,"ZIUBXII","ZIUBXII"
"ARQUITETURA E URBANISMO",563,95,0.169,99421.457,-179.47,-175.319,99434.457,-166.47,-162.319,FALSE,TRUE,TRUE,"BETA","BETA"
"NUTRIÇÃO",548,112,0.204,2783.957,-84.395,-79.221,2796.876,-71.476,-66.302,FALSE,TRUE,TRUE,"BETA","BETA"
"FARMÁCIA",528,107,0.203,535040.249,-166.009,-158.06,535053.056,-153.202,-145.253,FALSE,TRUE,TRUE,"BETA","BETA"
"ENGENHARIA MECÂNICA",486,62,0.128,-201.989,-288.623,-293.799,-189.43,-276.064,-281.24,TRUE,TRUE,TRUE,"KUMA","KUMA"
"ENGENHARIA ELÉTRICA",471,68,0.144,-109.393,-224.787,-224.533,-96.928,-212.322,-212.069,TRUE,TRUE,TRUE,"BETA","BETA"
"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",432,63,0.146,-65.741,-184.643,-181.681,-53.536,-172.438,-169.476,TRUE,TRUE,TRUE,"BETA","BETA"
"MATEMÁTICA",378,85,0.225,123.745,116.051,28.427,135.549,127.856,40.232,TRUE,TRUE,TRUE,"KUMA","KUMA"
"LOGÍSTICA",358,68,0.19,48.356,-19.668,-18.673,59.998,-8.026,-7.032,TRUE,TRUE,TRUE,"BETA","BETA"
"BIOMEDICINA",398,75,0.188,9.218,-83.406,-81.142,21.177,-71.447,-69.183,TRUE,TRUE,TRUE,"BETA","BETA"
"ODONTOLOGIA",381,91,0.239,40300576.258,-250.096,-249.531,40300588.086,-238.268,-237.702,FALSE,TRUE,TRUE,"BETA","BETA"
"SISTEMAS DE INFORMAÇÃO",319,53,0.166,6959.993,-116.814,-113.535,6971.289,-105.518,-102.239,FALSE,TRUE,TRUE,"BETA","BETA"
"SERVIÇO SOCIAL",267,62,0.232,56740.046,117.061,76.949,56750.807,127.823,87.711,FALSE,TRUE,TRUE,"KUMA","KUMA"
"CIÊNCIA DA COMPUTAÇÃO",317,42,0.132,-33.578,-139.419,-136.596,-22.301,-128.143,-125.319,TRUE,TRUE,TRUE,"BETA","BETA"
"QUÍMICA",310,48,0.155,-62.631,-40.815,-150.641,-51.421,-29.605,-139.431,TRUE,TRUE,TRUE,"KUMA","KUMA"
"HISTÓRIA",290,62,0.214,18561790.163,11.201,-125.257,18561801.173,22.211,-114.248,FALSE,TRUE,TRUE,"KUMA","KUMA"
"MEDICINA",318,92,0.289,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,"ZIUBXII","ZIUBXII"
"MEDICINA VETERINÁRIA",305,62,0.203,10217339.048,-183.823,-183.148,10217350.209,-172.662,-171.987,FALSE,TRUE,TRUE,"BETA","BETA"
"AGRONOMIA",294,60,0.204,-42.061,-198.712,-197.083,-31.01,-187.661,-186.033,TRUE,TRUE,TRUE,"BETA","BETA"
"MARKETING",211,45,0.213,70.828,63.065,19.099,80.884,73.12,29.154,TRUE,TRUE,TRUE,"KUMA","KUMA"
"GEOGRAFIA",227,58,0.256,18202976.823,-87.24,-84.468,18202987.097,-76.965,-74.193,FALSE,TRUE,TRUE,"BETA","BETA"
"FÍSICA",233,33,0.142,-12.231,-77.731,-76.299,-1.878,-67.378,-65.946,TRUE,TRUE,TRUE,"BETA","BETA"
"ESTÉTICA E COSMÉTICA",237,39,0.165,-24.648,-8.674,-95.992,-14.243,1.731,-85.588,TRUE,TRUE,TRUE,"KUMA","KUMA"
"PROCESSOS GERENCIAIS",183,33,0.18,761995.62,-7.827,-89.046,762005.249,1.802,-79.418,FALSE,TRUE,TRUE,"KUMA","KUMA"
"GESTÃO FINANCEIRA",171,33,0.193,60.864,18.115,19.151,70.289,27.54,28.576,TRUE,TRUE,TRUE,"BETA","BETA"
"JORNALISMO",181,26,0.144,5771484.793,-141.054,-139.389,5771494.388,-131.459,-129.794,FALSE,TRUE,TRUE,"BETA","BETA"
"ENGENHARIA QUÍMICA",173,27,0.156,349326.749,-98.396,-97.325,349336.209,-88.936,-87.866,FALSE,TRUE,TRUE,"BETA","BETA"
"GASTRONOMIA",188,40,0.213,664657.075,-65.904,-65.885,664666.784,-56.195,-56.176,FALSE,TRUE,TRUE,"BETA","BETA"
"CIÊNCIAS ECONÔMICAS",180,36,0.2,8483159.299,-111.599,-110.007,8483168.878,-102.02,-100.428,FALSE,TRUE,TRUE,"BETA","BETA"
"REDES DE COMPUTADORES",145,27,0.186,40.743,12.912,13.738,49.673,21.842,22.668,TRUE,TRUE,TRUE,"BETA","BETA"
"ENGENHARIA DE COMPUTAÇÃO",165,23,0.139,-31.033,-77.819,-77.262,-21.715,-68.501,-67.944,TRUE,TRUE,TRUE,"BETA","BETA"
"FILOSOFIA",144,42,0.292,14459818.036,65.836,1.641,14459826.946,74.745,10.551,FALSE,TRUE,TRUE,"KUMA","KUMA"
"ENGENHARIA DE CONTROLE E AUTOMAÇÃO",152,15,0.099,3.134,-29.701,-28.498,12.205,-20.629,-19.427,TRUE,TRUE,TRUE,"BETA","BETA"
"GESTÃO COMERCIAL",139,23,0.165,-21.172,-56.042,-56.549,-12.368,-47.239,-47.745,TRUE,TRUE,TRUE,"KUMA","KUMA"
"GESTÃO DA TECNOLOGIA DA INFORMAÇÃO",112,17,0.152,17.219,-6.118,-4.201,25.375,2.037,3.955,TRUE,TRUE,TRUE,"BETA","BETA"
"RADIOLOGIA",126,32,0.254,16.442,-11.132,-12.549,24.951,-2.623,-4.041,TRUE,TRUE,TRUE,"KUMA","KUMA"
"CIÊNCIAS SOCIAIS",118,25,0.212,1094558.813,6.656,-64.567,1094567.125,14.968,-56.255,FALSE,TRUE,TRUE,"KUMA","KUMA"
"ENGENHARIA AMBIENTAL",92,14,0.152,30.105,8.307,8.704,37.671,15.873,16.269,TRUE,TRUE,TRUE,"BETA","BETA"
"ENGENHARIA AMBIENTAL E SANITÁRIA",70,12,0.171,31.898,14.391,15.063,38.643,21.136,21.809,TRUE,TRUE,TRUE,"BETA","BETA"
"DESIGN GRÁFICO",117,22,0.188,18584.485,8.678,-54.879,18592.772,16.965,-46.593,FALSE,TRUE,TRUE,"KUMA","KUMA"
"DESIGN",115,29,0.252,10445250.649,-31.619,-30.275,10445258.883,-23.384,-22.04,FALSE,TRUE,TRUE,"BETA","BETA"
"DESIGN DE INTERIORES",106,26,0.245,30.858,8.257,8.976,38.848,16.247,16.966,TRUE,TRUE,TRUE,"BETA","BETA"
"MÚSICA",99,44,0.444,2012858805.673,43.186,41.451,2012858813.458,50.972,49.236,FALSE,TRUE,TRUE,"KUMA","KUMA"
"RELAÇÕES INTERNACIONAIS",114,22,0.193,NA,-65.322,-67.075,NA,-57.114,-58.866,FALSE,TRUE,TRUE,"KUMA","KUMA"
"TURISMO",75,16,0.213,1055073.109,12.008,-24.248,1055080.061,18.961,-17.295,FALSE,TRUE,TRUE,"KUMA","KUMA"
"DESIGN DE MODA",102,14,0.137,29291.525,-1.644,-29.74,29299.4,6.231,-21.865,FALSE,TRUE,TRUE,"KUMA","KUMA"
"TEOLOGIA",93,42,0.452,6706280750.236,15.689,16.075,6706280757.834,23.287,23.672,FALSE,TRUE,TRUE,"BETA","BETA"
"PUBLICIDADE E PROPAGANDA",92,15,0.163,18758.053,0.616,-24.528,18765.619,8.182,-16.963,FALSE,TRUE,TRUE,"KUMA","KUMA"
