"curso","n","zeros","prop_zero","AIC_ZIUBXII","AIC_BETA","AIC_KUMA","BIC_ZIUBXII","BIC_BETA","BIC_KUMA","conv_ZIUBXII","conv_BETA","conv_KUMA","vencedor_AIC","vencedor_BIC"
"ADMINISTRAÇÃO",1756,370,0.211,163382258.381,-569.064,-615.039,163382444.388,-383.057,-429.032,FALSE,TRUE,TRUE,"KUMA","KUMA"
"PEDAGOGIA",1232,379,0.308,3774840346083.98,-126.632,-199.99,3774840346247.7,42.209,-31.149,FALSE,TRUE,TRUE,"KUMA","KUMA"
"DIREITO",1266,258,0.204,3976337361466524,-954.617,NA,3976337361466694,-784.878,NA,TRUE,TRUE,FALSE,"BETA","BETA"
"CIÊNCIAS CONTÁBEIS",1148,260,0.226,15576176281.502,-386.858,NA,15576176448.013,-220.348,NA,FALSE,TRUE,FALSE,"BETA","BETA"
"EDUCAÇÃO FÍSICA",1095,236,0.216,227505216.047,-189.726,NA,227505385.997,-19.777,NA,FALSE,TRUE,FALSE,"BETA","BETA"
"ENFERMAGEM",973,214,0.22,27174705576078.2,-300.24,-376.422,27174705576234.3,-139.187,-215.37,FALSE,TRUE,TRUE,"KUMA","KUMA"
"ENGENHARIA CIVIL",918,151,0.164,883272040.469,-409.377,NA,883272199.601,-245.422,NA,FALSE,TRUE,FALSE,"BETA","BETA"
"PSICOLOGIA",752,131,0.174,NA,-595.203,-613.05,NA,-447.275,-465.123,FALSE,TRUE,TRUE,"KUMA","KUMA"
"ENGENHARIA DE PRODUÇÃO",595,112,0.188,1245906.805,-156.067,-179.036,1246056.016,-6.856,-29.825,FALSE,TRUE,TRUE,"KUMA","KUMA"
"FISIOTERAPIA",668,132,0.198,583960810217.032,-294.063,NA,583960810361.17,-145.421,NA,FALSE,TRUE,FALSE,"BETA","BETA"
"CIÊNCIAS BIOLÓGICAS",584,136,0.233,NA,-182.502,-219.941,NA,-38.295,-75.734,FALSE,TRUE,TRUE,"KUMA","KUMA"
"GESTÃO DE RECURSOS HUMANOS",521,84,0.161,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,"ZIUBXII","ZIUBXII"
"ARQUITETURA E URBANISMO",563,95,0.169,NA,-297.836,-361.999,NA,-154.838,-219.001,FALSE,TRUE,TRUE,"KUMA","KUMA"
"NUTRIÇÃO",548,112,0.204,NA,-126.785,-176.428,NA,11.016,-38.627,FALSE,TRUE,TRUE,"KUMA","KUMA"
"FARMÁCIA",528,107,0.203,NA,-196.737,NA,NA,-55.856,NA,FALSE,TRUE,FALSE,"BETA","BETA"
"ENGENHARIA MECÂNICA",486,62,0.128,NA,-386.692,NA,NA,-244.361,NA,FALSE,TRUE,FALSE,"BETA","BETA"
"ENGENHARIA ELÉTRICA",471,68,0.144,207739933.183,-308.453,-317.528,207740066.138,-167.188,-176.262,FALSE,TRUE,TRUE,"KUMA","KUMA"
"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",432,63,0.146,NA,-167.811,-193.776,NA,-33.553,-59.518,FALSE,TRUE,TRUE,"KUMA","KUMA"
"MATEMÁTICA",378,85,0.225,2212617.106,-2.175,-23.648,2212750.892,131.611,110.138,FALSE,TRUE,TRUE,"KUMA","KUMA"
"LOGÍSTICA",358,68,0.19,NA,-38.489,-41.556,NA,89.569,86.502,FALSE,TRUE,TRUE,"KUMA","KUMA"
"BIOMEDICINA",398,75,0.188,NA,-96.004,-100.416,NA,27.576,23.164,FALSE,TRUE,TRUE,"KUMA","KUMA"
"ODONTOLOGIA",381,91,0.239,NA,80.494,-327.294,NA,206.664,-201.125,FALSE,TRUE,TRUE,"KUMA","KUMA"
"SISTEMAS DE INFORMAÇÃO",319,53,0.166,NA,-133.468,NA,NA,-9.217,NA,FALSE,TRUE,FALSE,"BETA","BETA"
"SERVIÇO SOCIAL",267,62,0.232,703594875.827,82.688,NA,703594990.619,197.48,NA,FALSE,TRUE,FALSE,"BETA","BETA"
"CIÊNCIA DA COMPUTAÇÃO",317,42,0.132,NA,-220.845,NA,NA,-93.042,NA,FALSE,TRUE,FALSE,"BETA","BETA"
"QUÍMICA",310,48,0.155,37490365820643376,-166.668,-173.161,37490365820643496,-39.625,-46.118,TRUE,TRUE,TRUE,"KUMA","KUMA"
"HISTÓRIA",290,62,0.214,515194863243.738,-165.548,NA,515194863368.514,-40.772,NA,FALSE,TRUE,FALSE,"BETA","BETA"
"MEDICINA",318,92,0.289,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,"ZIUBXII","ZIUBXII"
"MEDICINA VETERINÁRIA",305,62,0.203,NA,-213.512,NA,NA,-90.741,NA,FALSE,TRUE,FALSE,"BETA","BETA"
"AGRONOMIA",294,60,0.204,NA,-240.123,-228.903,NA,-118.565,-107.345,FALSE,TRUE,TRUE,"BETA","BETA"
"MARKETING",211,45,0.213,810488174.182,23.927,NA,810488281.441,131.187,NA,FALSE,TRUE,FALSE,"BETA","BETA"
"GEOGRAFIA",227,58,0.256,NA,-86.987,NA,NA,29.461,NA,FALSE,TRUE,FALSE,"BETA","BETA"
"FÍSICA",233,33,0.142,NA,-75.009,NA,NA,35.424,NA,FALSE,TRUE,FALSE,"BETA","BETA"
"ESTÉTICA E COSMÉTICA",237,39,0.165,NA,-99.462,NA,NA,8.048,NA,FALSE,TRUE,FALSE,"BETA","BETA"
"PROCESSOS GERENCIAIS",183,33,0.18,NA,-79.735,NA,NA,22.969,NA,FALSE,TRUE,FALSE,"BETA","BETA"
"GESTÃO FINANCEIRA",171,33,0.193,NA,23.481,NA,NA,124.014,NA,FALSE,TRUE,FALSE,"BETA","BETA"
"JORNALISMO",181,26,0.144,NA,-130.808,-154.329,NA,-28.456,-51.977,FALSE,TRUE,TRUE,"KUMA","KUMA"
"ENGENHARIA QUÍMICA",173,27,0.156,NA,-126.093,-133.352,NA,-25.187,-32.447,FALSE,TRUE,TRUE,"KUMA","KUMA"
"GASTRONOMIA",188,40,0.213,NA,-71.498,-83.129,NA,35.304,23.674,FALSE,TRUE,TRUE,"KUMA","KUMA"
"CIÊNCIAS ECONÔMICAS",180,36,0.2,NA,-134.15,-137.066,NA,-31.976,-34.892,FALSE,TRUE,TRUE,"KUMA","KUMA"
"REDES DE COMPUTADORES",145,27,0.186,NA,11.215,NA,NA,109.447,NA,FALSE,TRUE,FALSE,"BETA","BETA"
"ENGENHARIA DE COMPUTAÇÃO",165,23,0.139,NA,-112.076,-111.865,NA,-6.473,-6.263,FALSE,TRUE,TRUE,"BETA","BETA"
"FILOSOFIA",144,42,0.292,NA,5.722,-2.422,NA,100.756,92.612,FALSE,TRUE,TRUE,"KUMA","KUMA"
"ENGENHARIA DE CONTROLE E AUTOMAÇÃO",152,15,0.099,NA,-71.353,-87.632,NA,28.435,12.156,FALSE,TRUE,TRUE,"KUMA","KUMA"
"GESTÃO COMERCIAL",139,23,0.165,NA,-59.028,NA,NA,34.875,NA,FALSE,TRUE,FALSE,"BETA","BETA"
"GESTÃO DA TECNOLOGIA DA INFORMAÇÃO",112,17,0.152,NA,-15.439,NA,NA,71.553,NA,FALSE,TRUE,FALSE,"BETA","BETA"
"RADIOLOGIA",126,32,0.254,NA,-2.825,NA,NA,87.936,NA,FALSE,TRUE,FALSE,"BETA","BETA"
"CIÊNCIAS SOCIAIS",118,25,0.212,NA,-41.838,NA,NA,52.365,NA,FALSE,TRUE,FALSE,"BETA","BETA"
"ENGENHARIA AMBIENTAL",92,14,0.152,NA,-9.695,NA,NA,73.524,NA,FALSE,TRUE,FALSE,"BETA","BETA"
"ENGENHARIA AMBIENTAL E SANITÁRIA",70,12,0.171,NA,9.844,NA,NA,84.044,NA,FALSE,TRUE,FALSE,"BETA","BETA"
"DESIGN GRÁFICO",117,22,0.188,NA,-64.872,NA,NA,26.28,NA,FALSE,TRUE,FALSE,"BETA","BETA"
"DESIGN",115,29,0.252,NA,73.005,NA,NA,160.843,NA,FALSE,TRUE,FALSE,"BETA","BETA"
"DESIGN DE INTERIORES",106,26,0.245,NA,-1.192,NA,NA,86.701,NA,FALSE,TRUE,FALSE,"BETA","BETA"
"MÚSICA",99,44,0.444,NA,39.781,NA,NA,125.42,NA,FALSE,TRUE,FALSE,"BETA","BETA"
"RELAÇÕES INTERNACIONAIS",114,22,0.193,NA,47.964,NA,NA,135.522,NA,FALSE,TRUE,FALSE,"BETA","BETA"
"TURISMO",75,16,0.213,NA,55.107,NA,NA,131.584,NA,FALSE,TRUE,FALSE,"BETA","BETA"
"DESIGN DE MODA",102,14,0.137,NA,-19.909,-49.329,NA,66.715,37.295,FALSE,TRUE,TRUE,"KUMA","KUMA"
"TEOLOGIA",93,42,0.452,NA,-27.808,NA,NA,43.105,NA,FALSE,TRUE,FALSE,"BETA","BETA"
"PUBLICIDADE E PROPAGANDA",92,15,0.163,NA,-19.177,NA,NA,58.999,NA,FALSE,TRUE,FALSE,"BETA","BETA"
"ZOOTECNIA",108,17,0.157,NA,-119.816,NA,NA,-33.987,NA,FALSE,TRUE,FALSE,"BETA","BETA"
"GESTÃO AMBIENTAL",83,17,0.205,NA,-12.92,NA,NA,66.901,NA,FALSE,TRUE,FALSE,"BETA","BETA"
"ARTES VISUAIS",87,26,0.299,NA,-19.595,NA,NA,61.78,NA,FALSE,TRUE,FALSE,"BETA","BETA"
